epoch: 31, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.60e-01 - valid loss: 6.19e-01, valid ctc_loss: 6.18e-01, valid PER: 24.96, valid mpd_f1: 3.97e-01
epoch: 32, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.51e-01 - valid loss: 6.15e-01, valid ctc_loss: 6.14e-01, valid PER: 24.86, valid mpd_f1: 3.99e-01
epoch: 33, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.87e-01 - valid loss: 6.07e-01, valid ctc_loss: 6.06e-01, valid PER: 24.55, valid mpd_f1: 3.96e-01
epoch: 34, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.87e-01 - valid loss: 6.04e-01, valid ctc_loss: 6.03e-01, valid PER: 24.51, valid mpd_f1: 4.06e-01
epoch: 35, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.49e-01 - valid loss: 6.01e-01, valid ctc_loss: 6.00e-01, valid PER: 24.53, valid mpd_f1: 3.99e-01
epoch: 36, lr_adam: 1.50e-04, lr_wav2vec: 7.50e-06 - train loss: 9.55e-01 - valid loss: 5.96e-01, valid ctc_loss: 5.94e-01, valid PER: 24.16, valid mpd_f1: 4.10e-01
epoch: 37, lr_adam: 7.50e-05, lr_wav2vec: 5.63e-06 - train loss: 9.44e-01 - valid loss: 6.00e-01, valid ctc_loss: 5.99e-01, valid PER: 24.37, valid mpd_f1: 3.71e-01
epoch: 38, lr_adam: 7.50e-05, lr_wav2vec: 5.63e-06 - train loss: 9.38e-01 - valid loss: 5.90e-01, valid ctc_loss: 5.89e-01, valid PER: 23.94, valid mpd_f1: 4.13e-01
epoch: 39, lr_adam: 7.50e-05, lr_wav2vec: 5.63e-06 - train loss: 9.14e-01 - valid loss: 5.87e-01, valid ctc_loss: 5.85e-01, valid PER: 23.94, valid mpd_f1: 4.06e-01
epoch: 40, lr_adam: 3.75e-05, lr_wav2vec: 4.22e-06 - train loss: 9.31e-01 - valid loss: 5.86e-01, valid ctc_loss: 5.85e-01, valid PER: 24.12, valid mpd_f1: 4.05e-01
epoch: 41, lr_adam: 3.75e-05, lr_wav2vec: 4.22e-06 - train loss: 9.32e-01 - valid loss: 5.84e-01, valid ctc_loss: 5.83e-01, valid PER: 24.05, valid mpd_f1: 4.04e-01
epoch: 42, lr_adam: 3.75e-05, lr_wav2vec: 4.22e-06 - train loss: 9.02e-01 - valid loss: 5.82e-01, valid ctc_loss: 5.80e-01, valid PER: 23.64, valid mpd_f1: 4.16e-01
epoch: 43, lr_adam: 1.87e-05, lr_wav2vec: 3.16e-06 - train loss: 9.05e-01 - valid loss: 5.81e-01, valid ctc_loss: 5.80e-01, valid PER: 23.51, valid mpd_f1: 4.12e-01
epoch: 44, lr_adam: 9.37e-06, lr_wav2vec: 2.37e-06 - train loss: 9.43e-01 - valid loss: 5.80e-01, valid ctc_loss: 5.79e-01, valid PER: 23.15, valid mpd_f1: 4.18e-01
epoch: 45, lr_adam: 4.69e-06, lr_wav2vec: 1.78e-06 - train loss: 9.00e-01 - valid loss: 5.79e-01, valid ctc_loss: 5.78e-01, valid PER: 23.28, valid mpd_f1: 4.14e-01
epoch: 46, lr_adam: 2.34e-06, lr_wav2vec: 1.33e-06 - train loss: 9.15e-01 - valid loss: 5.78e-01, valid ctc_loss: 5.77e-01, valid PER: 23.15, valid mpd_f1: 4.15e-01
epoch: 47, lr_adam: 1.17e-06, lr_wav2vec: 1.00e-06 - train loss: 8.75e-01 - valid loss: 5.77e-01, valid ctc_loss: 5.76e-01, valid PER: 23.15, valid mpd_f1: 4.14e-01
epoch: 48, lr_adam: 5.86e-07, lr_wav2vec: 7.51e-07 - train loss: 8.95e-01 - valid loss: 5.77e-01, valid ctc_loss: 5.76e-01, valid PER: 23.06, valid mpd_f1: 4.14e-01
epoch: 49, lr_adam: 2.93e-07, lr_wav2vec: 5.63e-07 - train loss: 8.74e-01 - valid loss: 5.77e-01, valid ctc_loss: 5.76e-01, valid PER: 23.07, valid mpd_f1: 4.16e-01
epoch: 50, lr_adam: 1.46e-07, lr_wav2vec: 4.22e-07 - train loss: 8.69e-01 - valid loss: 5.77e-01, valid ctc_loss: 5.76e-01, valid PER: 23.09, valid mpd_f1: 4.16e-01
Epoch loaded: 48 - test loss: 6.88e-01, test PER: 24.56, test mpd_f1: 3.75e-01
Epoch loaded: 0 - test loss: 14.18, test PER: 2.37e+02, test mpd_f1: 7.15e-02
