epoch: 30, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 7.07e-01 - valid loss: 4.95e-01, valid ctc_loss: 4.95e-01, valid PER: 17.89, valid mpd_f1: 3.92e-01
epoch: 31, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.73e-01 - valid loss: 4.92e-01, valid ctc_loss: 4.91e-01, valid PER: 17.30, valid mpd_f1: 3.99e-01
epoch: 32, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.58e-01 - valid loss: 4.89e-01, valid ctc_loss: 4.89e-01, valid PER: 17.19, valid mpd_f1: 4.05e-01
epoch: 33, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.70e-01 - valid loss: 4.89e-01, valid ctc_loss: 4.88e-01, valid PER: 17.09, valid mpd_f1: 4.07e-01
epoch: 34, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.80e-01 - valid loss: 4.85e-01, valid ctc_loss: 4.85e-01, valid PER: 16.89, valid mpd_f1: 4.02e-01
epoch: 35, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.62e-01 - valid loss: 4.83e-01, valid ctc_loss: 4.83e-01, valid PER: 16.55, valid mpd_f1: 4.09e-01
Epoch loaded: 35 - test loss: 6.08e-01, test PER: 18.00, test mpd_f1: 3.23e-01
epoch: 36, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.36e-01 - valid loss: 4.79e-01, valid ctc_loss: 4.79e-01, valid PER: 16.03, valid mpd_f1: 3.86e-01
epoch: 37, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.54e-01 - valid loss: 4.76e-01, valid ctc_loss: 4.75e-01, valid PER: 15.88, valid mpd_f1: 4.04e-01
epoch: 38, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.62e-01 - valid loss: 4.72e-01, valid ctc_loss: 4.71e-01, valid PER: 15.43, valid mpd_f1: 4.08e-01
epoch: 39, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 6.66e-01 - valid loss: 4.71e-01, valid ctc_loss: 4.70e-01, valid PER: 15.14, valid mpd_f1: 3.94e-01
epoch: 40, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 6.41e-01 - valid loss: 4.60e-01, valid ctc_loss: 4.59e-01, valid PER: 14.59, valid mpd_f1: 4.16e-01
epoch: 41, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 6.44e-01 - valid loss: 4.55e-01, valid ctc_loss: 4.54e-01, valid PER: 14.68, valid mpd_f1: 4.22e-01
epoch: 42, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 6.75e-01 - valid loss: 4.58e-01, valid ctc_loss: 4.57e-01, valid PER: 14.68, valid mpd_f1: 4.12e-01
epoch: 43, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 6.50e-01 - valid loss: 4.53e-01, valid ctc_loss: 4.53e-01, valid PER: 14.35, valid mpd_f1: 4.18e-01
epoch: 44, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 5.99e-01 - valid loss: 4.54e-01, valid ctc_loss: 4.54e-01, valid PER: 14.18, valid mpd_f1: 4.17e-01
epoch: 45, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 5.95e-01 - valid loss: 4.52e-01, valid ctc_loss: 4.51e-01, valid PER: 14.22, valid mpd_f1: 4.27e-01
epoch: 46, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 6.03e-01 - valid loss: 4.52e-01, valid ctc_loss: 4.52e-01, valid PER: 14.35, valid mpd_f1: 4.22e-01
epoch: 47, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 6.39e-01 - valid loss: 4.53e-01, valid ctc_loss: 4.53e-01, valid PER: 14.05, valid mpd_f1: 4.19e-01
epoch: 48, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.84e-01 - valid loss: 4.47e-01, valid ctc_loss: 4.47e-01, valid PER: 14.29, valid mpd_f1: 4.32e-01
epoch: 49, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.69e-01 - valid loss: 4.47e-01, valid ctc_loss: 4.46e-01, valid PER: 14.02, valid mpd_f1: 4.28e-01
epoch: 50, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 6.44e-01 - valid loss: 4.48e-01, valid ctc_loss: 4.47e-01, valid PER: 13.92, valid mpd_f1: 4.28e-01
Epoch loaded: 50 - test loss: 5.70e-01, test PER: 15.38, test mpd_f1: 3.45e-01
