epoch: 30, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 5.99e-01 - valid loss: 5.44e-01, valid ctc_loss: 5.44e-01, valid PER: 16.33, valid mpd_f1: 4.38e-01
epoch: 31, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 5.94e-01 - valid loss: 5.42e-01, valid ctc_loss: 5.42e-01, valid PER: 16.33, valid mpd_f1: 4.43e-01
epoch: 32, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 5.74e-01 - valid loss: 5.49e-01, valid ctc_loss: 5.49e-01, valid PER: 16.14, valid mpd_f1: 4.29e-01
epoch: 33, lr_model: 1.69e-04, lr_wav2vec2: 5.63e-06 - train loss: 5.48e-01 - valid loss: 5.49e-01, valid ctc_loss: 5.49e-01, valid PER: 16.39, valid mpd_f1: 4.39e-01
epoch: 34, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 5.53e-01 - valid loss: 5.48e-01, valid ctc_loss: 5.48e-01, valid PER: 16.30, valid mpd_f1: 4.41e-01
epoch: 35, lr_model: 1.27e-04, lr_wav2vec2: 4.22e-06 - train loss: 5.51e-01 - valid loss: 5.52e-01, valid ctc_loss: 5.52e-01, valid PER: 16.30, valid mpd_f1: 4.38e-01
epoch: 36, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 5.82e-01 - valid loss: 5.44e-01, valid ctc_loss: 5.44e-01, valid PER: 16.07, valid mpd_f1: 4.33e-01
epoch: 37, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 5.21e-01 - valid loss: 5.47e-01, valid ctc_loss: 5.47e-01, valid PER: 16.05, valid mpd_f1: 4.41e-01
epoch: 38, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 5.54e-01 - valid loss: 5.45e-01, valid ctc_loss: 5.45e-01, valid PER: 16.16, valid mpd_f1: 4.33e-01
epoch: 39, lr_model: 9.49e-05, lr_wav2vec2: 3.16e-06 - train loss: 5.20e-01 - valid loss: 5.49e-01, valid ctc_loss: 5.49e-01, valid PER: 16.23, valid mpd_f1: 4.25e-01
epoch: 40, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.57e-01 - valid loss: 5.47e-01, valid ctc_loss: 5.47e-01, valid PER: 15.97, valid mpd_f1: 4.38e-01
epoch: 41, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.44e-01 - valid loss: 5.44e-01, valid ctc_loss: 5.44e-01, valid PER: 16.15, valid mpd_f1: 4.34e-01
epoch: 42, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.28e-01 - valid loss: 5.45e-01, valid ctc_loss: 5.45e-01, valid PER: 15.96, valid mpd_f1: 4.36e-01
epoch: 43, lr_model: 7.12e-05, lr_wav2vec2: 2.37e-06 - train loss: 5.30e-01 - valid loss: 5.45e-01, valid ctc_loss: 5.45e-01, valid PER: 15.72, valid mpd_f1: 4.40e-01
epoch: 44, lr_model: 5.34e-05, lr_wav2vec2: 1.78e-06 - train loss: 5.32e-01 - valid loss: 5.43e-01, valid ctc_loss: 5.43e-01, valid PER: 15.77, valid mpd_f1: 4.43e-01
epoch: 45, lr_model: 5.34e-05, lr_wav2vec2: 1.78e-06 - train loss: 5.09e-01 - valid loss: 5.41e-01, valid ctc_loss: 5.41e-01, valid PER: 15.66, valid mpd_f1: 4.52e-01
epoch: 46, lr_model: 5.34e-05, lr_wav2vec2: 1.78e-06 - train loss: 5.08e-01 - valid loss: 5.43e-01, valid ctc_loss: 5.43e-01, valid PER: 15.75, valid mpd_f1: 4.47e-01
epoch: 47, lr_model: 5.34e-05, lr_wav2vec2: 1.78e-06 - train loss: 5.52e-01 - valid loss: 5.43e-01, valid ctc_loss: 5.43e-01, valid PER: 15.70, valid mpd_f1: 4.43e-01
epoch: 48, lr_model: 4.00e-05, lr_wav2vec2: 1.33e-06 - train loss: 4.95e-01 - valid loss: 5.43e-01, valid ctc_loss: 5.43e-01, valid PER: 15.71, valid mpd_f1: 4.47e-01
epoch: 49, lr_model: 4.00e-05, lr_wav2vec2: 1.33e-06 - train loss: 5.07e-01 - valid loss: 5.39e-01, valid ctc_loss: 5.39e-01, valid PER: 15.61, valid mpd_f1: 4.57e-01
epoch: 50, lr_model: 4.00e-05, lr_wav2vec2: 1.33e-06 - train loss: 5.13e-01 - valid loss: 5.40e-01, valid ctc_loss: 5.40e-01, valid PER: 15.75, valid mpd_f1: 4.47e-01
Epoch loaded: 49 - test loss: 6.84e-01, test PER: 17.17, test mpd_f1: 4.02e-01
